#,User,Review Date,Star,Title,Review
30,pawan jain,6 October 2018,5.0 out of 5 stars,Excellent,"Nice camera clicks, long battery life, smooth functioning"
31,adnan sarkar,8 January 2019,4.4 out of 5 stars,Kills everything in front of it,Superphone
32,shyju,5 November 2018,4.0 out of 5 stars,Awsome phone,Awsome phone with an awsome camera.. Battery overheating on day one but later started cooling down..
33,Ritesh K.,19 April 2019,1.0 out of 5 stars,P-20 Pro.. Rocks like a Pro!!,"Amazing Camera | Smooth operations | no handing, heating | Great Battery | Fantastic value for money!"
34,Balaji Kodigudla,30 October 2018,5.0 out of 5 stars,Awesome phone with fabulous features...,honestly its a good phone to buy...but cost is the factor...otherwise no issues at all till date...
35,Amazon Customer,31 August 2018,5.0 out of 5 stars,Fantastic,Gr8 phone... Loving it!!!
36,pankaj dhaked s/o chokhelal,23 February 2019,5.0 out of 5 stars,Best phone ever,It is really very good phone better than I phone and Samsung... I like it
37,Radhika bolla,10 April 2019,5.0 out of 5 stars,Ram isn't up to.mark,This phone doesn't have a feather touch as well it is slow compared with oneplus it's worst
38,msnaidu,21 November 2018,5.0 out of 5 stars,Waist of dis prize,expectation no. Waist of dis prize
39,Rajashekhar,15 March 2019,5.0 out of 5 stars,Ok,Ok
40,Jitendra Ghoghare,4 November 2018,1.0 out of 5 stars,Nice phone,This phone is very good but price is very expensive.
